Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
3,01/04/11,1345.06,1292.07,1261.74,1254.65,1269.7,1346.87,1530.87,2005.5,2155.78,2231.74,2232.76,1972.65,2086.8,2222.5,2256.9,2278.2,2229.8,2152.9,2075.3,2005.5,1909.6,1745.7,1542.6,1362.9,0,1
4,01/05/11,1304,1246.3,1206.5,1210.6,1236,1315.7,1511.8,1955,2121.4,2207.57,2213.4,1977.59,2032.5,2218.46,2258.96,2276.9,2148.4,2138.1,2115.5,2058.5,1896.2,1766.3,1626.4,1456.3,0,1
5,01/06/11,1360.4,1286.55,1264.7,1254.3,1274.9,1358.73,1516.43,1994.1,2167,2250.3,2270,1999.3,2142.2,2299.39,2303.16,2293.06,2173.59,2153.05,2138.73,2067.81,2018.69,1782.9,1578.2,1419.7,0,1
6,01/07/11,1378.44,1319.95,1269.96,1253.37,1252.5,1332.58,1508.6,1930.7,2086.3,2155.7,2183.7,1937.1,2028.5,2230.83,2219.9,2237.9,2136.3,2161.62,2060.36,2046.35,1986.48,1849.5,1565.3,1311.95,0,1
7,01/08/11,1333.74,1278.05,1239.4,1216.2,1222.9,1279,1443.2,1865.6,2033.1,2111,2128.78,1911.46,1992.75,2110.5,2008.6,2091.9,1949.7,1954.2,1934.9,1909.72,1905.5,1784.2,1601,1414.2,0,1
CN,01/09/11,1307.6,1224.06,1189.4,1171.72,1161,1155,1235.9,1347.9,1418.08,1557.81,1618.11,1476.8,1524.2,1654.9,1658.1,1661.8,1620.5,1703.9,1727.1,1709.8,1721.8,1638.2,1450.7,1294.9,0,1
2,01/10/11,1177.4,1133.3,1109.7,1111.7,1139,1230.7,1318.7,1863.74,2029.9,2103.5,2143.11,1912.74,2022.04,2236.25,2252.98,2260.37,2132.19,2130.13,2104.01,2068.93,2009,1851,1654.8,1469.62,0,2
3,01/11/11,1365.63,1299.1,1256.9,1241.55,1263.7,1342.95,1502,1958.97,2099.51,2165.71,2192.44,1933.78,2057.3,2183.2,2212.7,2247.6,2119.83,2147.6,2120.4,1953.25,1895.8,1754.6,1559.5,1404.15,0,2
4,01/12/11,1352.04,1295.84,1265.02,1260.8,1280.7,1349.4,1515.66,1972.56,2166.52,2221.7,2171.6,1997.91,2079.1,2230.5,2232.1,2241.3,2148.5,2145.2,2107.93,2045.4,1990.3,1842.6,1655.9,1469.81,0,2
5,01/13/11,1341.24,1298.12,1268,1256.2,1282.9,1368.52,1549.3,1975.3,2150.15,2213.59,2221.06,1964.38,2022.1,2173.5,2211.43,2227.45,2156.314444,2117.33,2093.1,1954.41,1892.8,1745.3,1509.5,1404.9,0,2
